"MaxEStateIndex","MinEStateIndex","MaxAbsEStateIndex","MinAbsEStateIndex","qed","MolWt","HeavyAtomMolWt","ExactMolWt","NumValenceElectrons","FpDensityMorgan1","FpDensityMorgan2","FpDensityMorgan3","BalabanJ","BertzCT","Chi0","Chi0n","Chi0v","Chi1","Chi1n","Chi1v","Chi2n","Chi2v","Chi3n","Chi3v","Chi4n","Chi4v","HallKierAlpha","Ipc","Kappa1","Kappa2","Kappa3","LabuteASA","PEOE_VSA1","PEOE_VSA10","PEOE_VSA11","PEOE_VSA12","PEOE_VSA13","PEOE_VSA14","PEOE_VSA2","PEOE_VSA3","PEOE_VSA4","PEOE_VSA5","PEOE_VSA6","PEOE_VSA7","PEOE_VSA8","PEOE_VSA9","SMR_VSA1","SMR_VSA10","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","SMR_VSA9","SlogP_VSA1","SlogP_VSA10","SlogP_VSA11","SlogP_VSA12","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","TPSA","EState_VSA1","EState_VSA10","EState_VSA11","EState_VSA2","EState_VSA3","EState_VSA4","EState_VSA5","EState_VSA6","EState_VSA7","EState_VSA8","EState_VSA9","VSA_EState10","VSA_EState2","VSA_EState8","VSA_EState9","FractionCSP3","HeavyAtomCount","NHOHCount","NOCount","NumAliphaticCarbocycles","NumAliphaticHeterocycles","NumAliphaticRings","NumAromaticCarbocycles","NumAromaticHeterocycles","NumAromaticRings","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRotatableBonds","NumSaturatedCarbocycles","NumSaturatedHeterocycles","NumSaturatedRings","RingCount","MolLogP","MolMR","fr_Al_COO","fr_Al_OH","fr_Al_OH_noTert","fr_ArN","fr_Ar_COO","fr_Ar_N","fr_Ar_NH","fr_Ar_OH","fr_COO","fr_COO2","fr_C_O","fr_C_O_noCOO","fr_HOCCN","fr_Imine","fr_NH0","fr_NH1","fr_NH2","fr_N_O","fr_Ndealkylation1","fr_Ndealkylation2","fr_Nhpyrrole","fr_SH","fr_aldehyde","fr_alkyl_halide","fr_allylic_oxid","fr_amide","fr_amidine","fr_aniline","fr_aryl_methyl","fr_benzene","fr_bicyclic","fr_epoxide","fr_ester","fr_ether","fr_furan","fr_guanido","fr_halogen","fr_hdrzine","fr_hdrzone","fr_imidazole","fr_imide","fr_ketone","fr_ketone_Topliss","fr_lactam","fr_lactone","fr_methoxy","fr_nitrile","fr_nitro","fr_nitro_arom","fr_nitro_arom_nonortho","fr_nitroso","fr_oxime","fr_para_hydroxylation","fr_phenol","fr_phenol_noOrthoHbond","fr_phos_acid","fr_phos_ester","fr_piperdine","fr_piperzine","fr_priamide","fr_pyridine","fr_quatN","fr_sulfide","fr_thiazole","fr_thiocyan","fr_unbrch_alkane","fr_urea","L0","L1","L2","L3","L4","L5"
9.11287037,-1.221388889,9.11287037,0.05212963,0.342657661,164.157,152.061,164.0684735,66,1.181818182,1.818181818,2.363636364,2.516424271,126.1410502,8.43072142,5.920717312,5.920717312,5.16390246,3.431698411,3.431698411,2.602891828,2.602891828,1.786059573,1.786059573,1.027594912,1.027594912,-0.2,299.5746516,8.892592593,3.464718773,1.686939792,63.84861068,25.16297253,24.41586555,0,0,0,0,0,0,0,0,0,0,0,13.21376393,25.16297253,0,0,0,0,24.41586555,13.21376393,0,0,0,0,0,0,58.05573906,4.736862954,0,0,0,0,0,90.15,24.41586555,0,0,13.21376393,0,0,0,0,0,0,25.16297253,0,0,0,35.83333333,1,11,4,5,0,1,1,0,0,0,5,4,5,1,0,1,1,1,-2.5398,34.8462,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
9.119537037,-1.568935185,9.119537037,0.525787037,0.290152855,180.156,168.06,180.0633881,72,0.916666667,1.5,2,2.634408987,146.2188491,9.300964908,6.238174395,6.238174395,5.574586063,3.56200947,3.56200947,2.719449317,2.719449317,1.86705949,1.86705949,1.081733811,1.081733811,-0.24,454.5175035,9.845034014,3.648916103,1.581758759,68.64284444,30.26949993,24.41586555,6.290026729,0,0,0,0,0,0,0,0,0,0,6.606881965,30.26949993,0,0,0,0,30.70589228,6.606881965,0,0,0,0,0,0,62.84541122,4.736862954,0,0,0,0,0,110.38,37.31277424,0,0,0,0,0,0,0,0,4.736862954,25.53263697,0,0,0,41.66666667,1,12,5,6,0,1,1,0,0,0,6,5,6,1,0,1,1,1,-3.2214,35.986,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
9,-0.833333333,9,0.833333333,0.429882883,60.052,56.02,60.02112937,24,2,2,2,2.803039488,27.01955001,3.577350269,2.355461886,2.355461886,1.732050808,0.927730943,0.927730943,0.519018036,0.519018036,0,0,0,0,-0.53,3.245112498,3.47,0.8748583,1.156009256,24.05994899,5.106527395,0,0,0,5.969305288,0,4.794537184,0,0,0,0,0,6.9237372,0,9.901064579,5.969305288,0,0,0,6.9237372,0,0,0,0,0,0,0,11.07583268,4.794537184,0,6.9237372,0,0,0,37.3,5.969305288,0,0,0,0,6.9237372,0,0,0,0,9.901064579,0,0,0,16.66666667,0.5,4,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.0909,13.3098,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
9.97287037,-1.710740741,9.97287037,0.949074074,0.383748266,132.071,128.039,132.0058732,50,1.111111111,1.555555556,1.666666667,3.788427601,158.34093,7.439157589,4.326278844,4.326278844,4.03658126,2.016692812,2.016692812,1.298844138,1.298844138,0.550318795,0.550318795,0.212963369,0.212963369,-1.39,60.47184355,7.61,2.806214595,3.215143722,49.90711118,10.21305479,6.420821623,0,0,5.783244946,11.93861058,9.589074368,4.794537184,0,0,0,0,0,0,24.59666634,17.72185552,0,0,0,6.420821623,0,0,0,0,0,0,0,27.93491031,14.38361155,0,6.420821623,0,0,0,91.67,24.14267715,14.38361155,0,0,0,0,0,0,0,0,10.21305479,0,0,0,39.5,0.25,9,2,5,0,0,0,0,0,0,3,2,5,3,0,0,0,0,-0.8852,24.8956,2,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
9.243055556,-0.967592593,9.243055556,0.277777778,0.421170888,75.067,70.027,75.0320284,30,2,2.2,2.2,2.847378923,42.91260938,4.28445705,2.639918936,2.639918936,2.27005561,1.189532624,1.189532624,0.597862689,0.597862689,0.174620426,0.174620426,0,0,-0.57,9.651484454,4.43,1.72154519,3.43,29.39983969,10.84019487,0,0,0,0,5.969305288,4.794537184,0,0,0,0,0,0,6.544756406,9.901064579,5.969305288,0,0,5.733667477,0,6.544756406,0,0,5.733667477,0,0,0,17.62058909,4.794537184,0,0,0,0,0,63.32,5.969305288,4.794537184,0,6.544756406,0,0,0,0,0,5.733667477,5.106527395,0,0,0,20.16666667,0.5,5,3,3,0,0,0,0,0,0,2,2,3,1,0,0,0,0,-0.9703,16.6902,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
12.4512828,-4.490659888,12.4512828,0.013206994,0.276888673,475.3,450.1,475.0770391,173,0.833333333,1.3,1.833333333,1.499646244,749.8279146,24.38854058,15.7963093,17.58516368,15.37094236,9.207074737,12.19796497,6.796997633,9.609255522,4.587377243,6.612498408,2.964773466,4.885143264,0.02,13589037.14,20.6145197,8.419629368,5.678672701,172.9019201,0,0,0,0,0,172.6085013,0,0,0,0,0,0,0,0,61.43555207,15.64539425,0,0,0,75.70690909,19.82064589,0,0,0,0,0,15.64539425,96.26496811,41.43567408,0,19.26246487,0,0,0,179.67,52.26919257,29.12997457,0,39.64129179,19.26246487,0,0,0,0,0,32.30557751,0,-0.568536684,45.5276019,43.1520459,1,30,4,13,0,3,3,0,0,0,11,4,18,11,0,3,3,3,-0.6631,94.2272,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12.61572563,-5.554169249,12.61572563,0.032582659,0.05958035,794.543,759.263,794.1022986,281,1.12,1.8,2.46,1.553439325,1715.969176,38.36323207,26.07419907,29.57397722,23.51709351,14.04052893,19.54731446,11.00111204,16.10049267,6.662769321,10.28858093,4.222881364,7.33935637,-2.44,34567144578,40.3323622,16.48832552,11.799472,286.4185804,35.15070424,30.15591996,17.69294117,0,0,119.5683893,18.13834113,28.64708042,4.31063137,0,13.8474744,0,0,19.541084,80.48419342,69.644269,0,30.15261242,5.414990469,50.91206274,37.78979782,12.65464015,0,16.36724469,10.61239996,0,35.22997632,123.2102843,45.90295503,5.414990469,26.49619719,12.65464015,0,11.16387794,363.63,84.55497195,57.86545761,0,42.11026766,5.752853607,28.98362475,13.8474744,0,0,34.4198913,19.51802475,1.136181137,-0.410113925,56.25151804,98.68908141,0.636363636,50,10,24,0,1,1,0,2,2,19,9,29,19,0,1,1,3,-1.1926,167.4871,0,2,2,1,0,4,0,0,0,0,3,3,0,0,4,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
9.574074074,-0.962962963,9.574074074,0.731481482,0.451352188,89.094,82.038,89.04767846,36,2,2.166666667,2.166666667,3.257586161,59.81353753,5.154700538,3.510162424,3.510162424,2.64273441,1.62708968,1.62708968,1.126912803,1.126912803,0.389527556,0.389527556,0,0,-0.57,13.60964047,5.43,1.76763384,1.72154519,35.76478181,10.84019487,6.041840829,0,0,0,5.969305288,4.794537184,0,0,0,0,6.9237372,0,0,9.901064579,5.969305288,0,0,5.733667477,12.96557803,0,0,0,5.733667477,0,0,0,17.11767351,4.794537184,0,6.9237372,0,0,0,63.32,12.01114612,4.794537184,0,0,0,0,6.9237372,0,0,0,10.84019487,0,0,0,22,0.666666667,6,3,3,0,0,0,0,0,0,2,2,3,1,0,0,0,0,-0.5818,21.2852,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
9.640416667,-1.076481482,9.640416667,0.296296296,0.543771403,118.088,112.04,118.0266087,46,1,1.25,1.375,3.181845867,92.60593782,6.568914101,4.125137334,4.125137334,3.625897658,2.062568667,2.062568667,1.287477086,1.287477086,0.552730943,0.552730943,0.213865472,0.213865472,-1.06,40.33920395,6.94,3.009687482,4.94,45.74558908,10.21305479,0,0,0,0,11.93861058,9.589074368,0,0,0,0,0,0,12.84164325,19.80212916,11.93861058,0,0,0,12.84164325,0,0,0,0,0,0,0,22.15166537,9.589074368,0,12.84164325,0,0,0,74.6,11.93861058,9.589074368,0,12.84164325,0,0,0,0,0,0,10.21305479,0,0,0,32.33333333,0.5,8,2,4,0,0,0,0,0,0,2,2,4,3,0,0,0,0,-0.0642,24.5056,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
12.43866522,-5.627087584,12.43866522,0.722977133,0.112913595,607.355,580.139,607.0815697,222,1.051282051,1.692307692,2.282051282,1.655834887,1239.282494,29.28372809,19.81968538,21.60853977,18.04735027,10.97454541,13.96543564,8.416621895,11.41305965,5.558703212,8.159162954,3.756846925,5.921206143,-1.87,154682644.9,31.65491681,12.33223675,7.658655558,217.074268,50.10997469,42.66563916,12.5179279,5.907179729,5.559266895,21.33513764,28.18764686,13.92463375,4.31063137,0,0,0,19.18694784,13.21376393,72.07594553,21.55257398,0,14.86786677,0,62.10730426,13.21376393,33.1012953,0,16.5657989,0,0,15.64539425,112.9471479,36.75648535,0,13.15163837,21.85228501,0,0,305.86,101.1989153,58.8331683,0,0,0,23.75404749,0,0,4.983978521,18.6749143,9.473725908,0,0,38.85772434,90.25338678,0.705882353,39,9,20,0,2,2,0,1,1,16,9,22,10,0,2,2,3,-4.6499,120.384,0,5,5,0,0,2,1,0,0,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
